,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Ust-Kuyga,RU,70.0167,135.6,-37.8,99,99,4.21,overcast clouds
318,Butaritari,KI,3.0707,172.7902,82.15,75,65,16.31,light rain
319,Rikitea,PF,-23.1203,-134.9692,79.02,73,9,17.36,clear sky
320,Bethel,US,41.3712,-73.414,29.05,85,100,0.0,overcast clouds
321,Carnarvon,AU,-24.8667,113.6333,80.67,41,5,25.32,clear sky
322,Hilo,US,19.7297,-155.09,69.24,93,76,5.01,broken clouds
323,Erzin,TR,36.9559,36.2,36.32,69,0,2.68,clear sky
324,East London,ZA,-33.0153,27.9116,72.54,88,0,4.61,clear sky
325,Evensk,RU,61.95,159.2333,0.66,71,2,8.9,clear sky
326,Camacha,PT,33.0833,-16.3333,58.42,63,40,11.5,scattered clouds
327,Talnakh,RU,69.4865,88.3972,-24.34,94,55,3.13,broken clouds
328,Hermanus,ZA,-34.4187,19.2345,67.8,89,66,1.32,broken clouds
329,Burns Lake,CA,54.2331,-125.7533,33.22,95,100,7.38,overcast clouds
330,Lebu,CL,-37.6167,-73.65,57.85,93,6,12.64,clear sky
331,Chuy,UY,-33.6971,-53.4616,62.42,82,52,12.75,broken clouds
332,Raudeberg,NO,61.9875,5.1352,39.2,89,89,1.99,overcast clouds
333,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
334,Henties Bay,NA,-22.116,14.2845,68.86,82,93,7.96,overcast clouds
335,Mar Del Plata,AR,-38.0023,-57.5575,65.08,79,40,5.01,scattered clouds
336,Rikitea,PF,-23.1203,-134.9692,79.02,73,9,17.36,clear sky
337,Butaritari,KI,3.0707,172.7902,82.15,75,65,16.31,light rain
338,San Vicente,AR,-26.6167,-54.1333,54.86,72,0,2.68,clear sky
339,Ushuaia,AR,-54.8,-68.3,62.26,63,40,12.66,scattered clouds
340,Anadyr,RU,64.75,177.4833,-19.7,76,66,8.95,fog
341,Albany,US,42.6001,-73.9662,21.78,80,28,2.35,scattered clouds
342,Ferme-Neuve,CA,46.7001,-75.4493,13.78,95,100,5.14,light snow
343,Cape Town,ZA,-33.9258,18.4232,67.1,85,75,1.99,broken clouds
